epoch,step,train/loss,train/reward,val/reward
0,49,11.927766799926758,-9.713875770568848,
0,99,0.7061250805854797,-8.24984359741211,
0,149,0.0813480019569397,-7.698566436767578,
0,195,,,-6.771031379699707
1,199,-22.285266876220703,-7.418783664703369,
1,249,-9.4957275390625,-7.113176345825195,
1,299,-3.6035361289978027,-6.897340774536133,
1,349,-6.610840797424316,-6.9687066078186035,
1,391,,,-6.5014824867248535
2,399,-6.271927833557129,-6.761358261108398,
2,449,-5.898108959197998,-6.732494354248047,
2,499,-4.187448024749756,-6.687055587768555,
2,549,-3.2935848236083984,-6.619142532348633,
2,587,,,-6.389317035675049
